Timestamp;1. Do you have a social media account? (e.g., Facebook, Twitter, etc.);2. Which social media account do you use usually?;3. Which device do you usually use to connect social media?;4. Which type of internet connection do you use?;5. How long have you been using a social media account?;6. How frequently do you post (upload status or add photos/videos) on social media? ;7. How much time do you spend daily in social media?;8. When do you usually use social media?;9. How many friends do you have on social media?;10. How many friends do you know personally in social media? ;11. How many groups you are tagged in social media?;12. What is your main purpose for using social media (e.g. Facebook)?;13. What contents do you mainly look for in your social media news feed?;14.Do you believe social media is a good thing?;15. When you see something in social media, do you instantly believe it?;16. Have you ever experienced peer pressure due to social media?;17. Does your emotion get influenced by other's posts (success, failure, loss)? ;18. Have you ever compared yourself with other’s success or luxurious life?;19. Do you think, your mental wellbeing would be better if you do not use social media?;20. If answer is yes, are you trying to control that thing and trying to reduce the use of social media?;21. Please write your age in years (number).;22. Gender;23. Marital Status;24. Religion;25. Education;26. Profession;27. Monthly income;28. Area of residence;29. Living with-;30. Body weight (Kg);31. Height (m);32. Smoking habit
2/17/2021 19:24:07;Yes;Instagram;Mobile Phone;Broadband (Wi-Fi);More than 10 years;Less than 1 per day;More than 5 hours;Frequently at anytime;500-2000;All of them;Less than 5;To stay connected with people;To stay connected with people;Yes;No;No;Sometimes;Never;No;Not trying;26;Female;Unmarried;Muslim;Graduate Level;Unemployed including students;No income;Urban Area;With family;60;1.60;Non-smoker
2/20/2021 22:05:00;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;3-5 per day;3-5 hours;Frequently at anytime;500-2000;Most of them;5-10;To stay connected with people;Updates of current affairs/news;Yes;No;Yes;Sometimes;Never;Yes;Trying to reduce the use;25;Female;Married;Muslim;Graduate Level;Private job;10,000-40,000 Tk;Urban Area;With family;60;1.60;Non-smoker
2/18/2021 3:40:07;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);Less than 2-year;Less than 1 per day;3-5 hours;Frequently at anytime;Less than 500;Most of them;5-10;To stay connected with people;Updates of current affairs/news;No;No;No;Sometimes;Most of the times;Yes;Trying to reduce the use;53;Male;Married;Muslim;Graduate Level;Govt. job;10,000-40,000 Tk;Urban Area;With family;72;1.75;Smoker
2/13/2021 19:39:49;Yes;Instagram;Mobile Phone;Mobile data;5-10 years;More than 5 per day;More than 5 hours;Frequently at anytime;Less than 500;All of them;Less than 5;To stay connected with people;Motivational/ informative contents;Yes;No;No;Sometimes;Never;Yes;Not trying;25;Male;Unmarried;Muslim;Graduate Level;Unemployed including students;No income;Urban Area;With family;62;1.63;Non-smoker
3/5/2021 18:27:59;Yes;Facebook;Tablet;Broadband (Wi-Fi);5-10 years;More than 5 per day;More than 5 hours;Night to late night;500-2000;Many of them;10-20;To stay connected with people;Get pleasure from funny posts/ memes;Yes;Yes;Yes;Sometimes;Most of the times;Yes;Trying to reduce the use;38;Female;Widow;Christan;Masters or above;Private job;Above 70,000 Tk;Urban Area;Without family;62;1.63;Smoker
2/14/2021 19:20:27;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;More than 5 hours;Frequently at anytime;500-2000;Most of them;More than 20;To stay connected with people;To stay connected with people;Yes;No;No;Sometimes;Never;No;Trying to reduce the use;25;Male;Unmarried;Muslim;Masters or above;Unemployed including students;No income;Urban Area;With family;62;1.63;Non-smoker
2/15/2021 19:18:33;Yes;Facebook;Laptop;Broadband (Wi-Fi);More than 10 years;3-5 per day;More than 5 hours;Frequently at anytime;500-2000;Most of them;More than 20;To stay connected with people;Updates of people;No;No;No;Sometimes;Most of the times;Yes;Trying to reduce the use;28;Male;Married;Muslim;Masters or above;Private job;10,000-40,000 Tk;Urban Area;With family;70;1.73;Smoker
2/26/2021 21:52:41;Yes;Imo;Mobile Phone;Mobile data;2-5 years;Less than 1 per day;Less than 1 hour;Frequently at anytime;Less than 500;All of them;Less than 5;To stay connected with people;To stay connected with people;Yes;Yes;No;Sometimes;Most of the times;No;Trying to reduce the use;44;Male;Married;Muslim;Secondary Level;Self-employed/Entrepreneur/Business;Above 70,000 Tk;Rural Area;With family;70;1.73;Smoker
2/19/2021 23:47:25;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;More than 5 per day;More than 5 hours;Frequently at anytime;Less than 500;Most of them;Less than 5;To stay connected with people;To stay connected with people;Yes;No;No;Sometimes;Never;No;Not trying;21;Male;Unmarried;Christian;Graduate Level;Unemployed including students;No income;Urban Area;With family;70;1.73;Smoker
2/28/2021 19:01:53;Yes;Facebook;Mobile Phone;Mobile data;5-10 years;Less than 1 per day;More than 5 hours;Frequently at anytime;Less than 500;Many of them;Less than 5;For time pass;Updates of people;Yes;No;No;Not at all;Never;No;Not trying;35;Male;Married;Muslim;Secondary Level;Self-employed/Entrepreneur/Business;10,000-40,000 Tk;Rural Area;With family;70;1.73;Non-smoker
2/26/2021 10:03:34;Yes;Facebook;Mobile Phone;Mobile data;More than 10 years;More than 5 per day;1-3 hours;Frequently at anytime;500-2000;Few of them;More than 20;To stay connected with people;Entertainment ;Yes;No;Yes;Sometimes;Most of the times;No;Not trying;27;Female;Unmarried;Muslim;Graduate Level;Private job;10,000-40,000 Tk;Urban Area;With family;64;1.65;Non-smoker
2/22/2021 12:45:59;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;Less than 1 hour;Frequently at anytime;500-2000;Many of them;5-10;To stay connected with people;Motivational/ informative contents;Yes;No;No;Sometimes;Never;Yes;Trying to reduce the use;29;Male;Unmarried;Muslim;Masters or above;Private job;40,000-70,000 Tk;Urban Area;Without family;64;1.65;Non-smoker
2/20/2021 20:45:42;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);More than 10 years;Less than 1 per day;1-3 hours;Night to late night;Less than 500;All of them;10-20;For time pass;Motivational/ informative contents;Yes;No;No;Sometimes;Never;No;Trying to reduce the use;25;Female;Married;Muslim;Graduate Level;Teacher ;10,000-40,000 Tk;Urban Area;With family;64;1.65;Non-smoker
2/20/2021 0:34:06;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);More than 10 years;Less than 1 per day;Less than 1 hour;Frequently at anytime;500-2000;All of them;More than 20;To stay connected with people;Updates of current affairs/news;Yes;No;No;Sometimes;Never;No;Not trying;27;Female;Married;Muslim;Graduate Level;Unemployed including students;No income;Urban Area;With family;64;1.65;Non-smoker
2/17/2021 3:23:27;Yes;Facebook;Laptop;Broadband (Wi-Fi);5-10 years;3-5 per day;More than 5 hours;Frequently at anytime;2000-4000;Many of them;5-10;To stay connected with people;To stay connected with people;No;No;No;Always;All the times;Yes;Not trying;22;Female;Unmarried;Muslim;Graduate Level;Unemployed including students;No income;Urban Area;With family;68;1.70;Non-smoker
3/7/2021 22:55:35;Yes;Instagram;Tablet;Broadband (Wi-Fi);2-5 years;3-5 per day;More than 5 hours;Evening;500-2000;Few of them;5-10;To stay connected with people;To stay connected with people;Yes;Yes;Yes;Always;Never;Yes;Trying to reduce the use;18;Male;Unmarried;Muslim;Secondary Level;Unemployed including students;No income;Rural Area;Without family;66;1.68;Non-smoker
3/6/2021 19:39:24;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;3-5 per day;1-3 hours;Afternoon;500-2000;Many of them;5-10;To make new friends;To stay connected with people;Yes;Yes;Yes;Not at all;All the times;Yes;Trying to stop the use;21;Male;Unmarried;Muslim;Graduate Level;Unemployed including students;No income;Rural Area;Without family;66;1.68;Smoker
3/7/2021 19:32:25;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);2-5 years;3-5 per day;3-5 hours;Frequently at anytime;500-2000;Many of them;5-10;To make new friends;To stay connected with people;Yes;Yes;Yes;Not at all;Never;Yes;Not trying;19;Male;Unmarried;Muslim;Secondary Level;Unemployed including students;No income;Rural Area;With family;66;1.68;Non-smoker
3/7/2021 18:59:22;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);2-5 years;3-5 per day;3-5 hours;Morning;500-2000;Few of them;5-10;For time pass;Get pleasure from funny posts/ memes;Yes;Yes;Yes;Sometimes;All the times;No;Not trying;19;Male;Unmarried;Muslim;Primary level;Daily labor/driver/housemaid;10,000-40,000 Tk;Rural Area;With family;66;1.68;Smoker
2/22/2021 12:41:45;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;3-5 per day;More than 5 hours;Frequently at anytime;500-2000;Many of them;5-10;For time pass;Get pleasure from funny posts/ memes;Yes;No;Yes;Sometimes;Never;No;Trying to reduce the use;25;Female;Unmarried;Muslim;Graduate Level;Doctor;10,000-40,000 Tk;Urban Area;With family;66;1.68;Smoker
2/19/2021 10:55:09;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;More than 5 per day;1-3 hours;Frequently at anytime;500-2000;Many of them;More than 20;To stay connected with people;To stay connected with people;Yes;Yes;Yes;Sometimes;Never;No;Not trying;27;Male;Unmarried;Muslim;Graduate Level;Private job;10,000-40,000 Tk;Urban Area;Without family;62.3;1.63;Non-smoker
3/1/2021 0:05:55;Yes;Facebook;Mobile Phone;Mobile data;Less than 2-year;Less than 1 per day;Less than 1 hour;Night to late night;Less than 500;Most of them;Less than 5;To stay connected with people;Updates of current affairs/news;No;No;No;Not at all;Most of the times;Yes;Not trying;55;Female;Widow;Hindu;Primary level;Daily labor/driver/housemaid;10,000-40,000 Tk;Rural Area;With family;55;1.52;Non-smoker
2/21/2021 13:37:15;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;3-5 per day;More than 5 hours;Frequently at anytime;2000-4000;Most of them;Less than 5;For time pass;Get pleasure from funny posts/ memes;Yes;Yes;Yes;Sometimes;Most of the times;Yes;Not trying;21;Female;Unmarried;Muslim;Graduate Level;Unemployed including students;No income;Urban Area;With family;55;1.52;Smoker
2/22/2021 10:28:56;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);2-5 years;More than 5 per day;1-3 hours;Frequently at anytime;500-2000;Many of them;More than 20;To stay connected with people;To stay connected with people;Yes;No;Yes;Sometimes;Never;Yes;Not trying;27;Female;Unmarried;Muslim;Masters or above;Private job;10,000-40,000 Tk;Rural Area;With family;57;1.55;Non-smoker
3/7/2021 20:52:25;Yes;Facebook;Laptop;Broadband (Wi-Fi);2-5 years;3-5 per day;3-5 hours;Evening;Less than 500;Many of them;5-10;For time pass;Updates of people;Yes;No;No;Not at all;Never;Yes;Trying to stop the use;19;Male;Unmarried;Muslim;Secondary Level;Unemployed including students;No income;Rural Area;With family;57;1.55;Smoker
3/7/2021 15:00:45;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);More than 10 years;More than 5 per day;More than 5 hours;Night to late night;Less than 500;All of them;More than 20;To stay connected with people;To stay connected with people;Yes;No;No;Not at all;Most of the times;Yes;Trying to reduce the use;25;Male;Unmarried;Muslim;Graduate Level;Private job;10,000-40,000 Tk;Urban Area;With family;57;1.55;Smoker
2/22/2021 12:41:00;Yes;Facebook;Mobile Phone;Mobile data;5-10 years;1-2 per day;3-5 hours;Night to late night;500-2000;Most of them;5-10;For time pass;Updates of current affairs/news;Yes;No;Yes;Always;All the times;Yes;Trying to reduce the use;27;Female;Married;Muslim;Graduate Level;Private job;10,000-40,000 Tk;Urban Area;With family;57;1.55;Non-smoker
2/22/2021 12:37:36;Yes;Facebook;Mobile Phone;Mobile data;5-10 years;Less than 1 per day;1-3 hours;Frequently at anytime;Less than 500;Most of them;5-10;To stay connected with people;Updates of current affairs/news;Yes;No;Yes;Sometimes;Most of the times;Yes;Trying to reduce the use;27;Female;Unmarried;Muslim;Graduate Level;Private job;10,000-40,000 Tk;Urban Area;With family;57;1.55;Non-smoker
2/19/2021 23:49:12;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;1-3 hours;Night to late night;More than 4000;Most of them;More than 20;To stay connected with people;To stay connected with people;Yes;No;Yes;Sometimes;Most of the times;Yes;Trying to reduce the use;22;Male;Unmarried;Muslim;Graduate Level;Unemployed including students;10,000-40,000 Tk;Urban Area;With family;73;1.75;Non-smoker
2/20/2021 21:15:30;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;3-5 hours;Frequently at anytime;Less than 500;Most of them;More than 20;For time pass;Motivational/ informative contents;No;No;Yes;Sometimes;Most of the times;Yes;Trying to reduce the use;27;Female;Unmarried;Muslim;Graduate Level;Private job;10,000-40,000 Tk;Urban Area;With family;59;1.57;Non-smoker
2/22/2021 13:42:04;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);More than 10 years;Less than 1 per day;More than 5 hours;Frequently at anytime;500-2000;All of them;More than 20;For time pass;Get pleasure from funny posts/ memes;Yes;No;Yes;Sometimes;Never;No;Not trying;27;Female;Married;Muslim;Graduate Level;Unemployed including students;No income;Urban Area;With family;59;1.57;Non-smoker
2/21/2021 15:32:07;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;1-3 hours;Frequently at anytime;500-2000;Most of them;More than 20;To stay connected with people;Updates of current affairs/news;Yes;No;Yes;Sometimes;Never;Yes;Trying to reduce the use;26;Male;Unmarried;Muslim;Graduate Level;Private job;10,000-40,000 Tk;Urban Area;Without family;71;1.73;Non-smoker
3/6/2021 12:31:32;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;3-5 per day;More than 5 hours;Night to late night;2000-4000;Many of them;More than 20;To stay connected with people;To stay connected with people;No;No;Yes;Not at all;Never;Yes;Trying to reduce the use;35;Male;Married;Muslim;Graduate Level;Private job;10,000-40,000 Tk;Rural Area;With family;71;1.73;Non-smoker
3/7/2021 23:04:54;Yes;Snapchat;Tablet;Broadband (Wi-Fi);Less than 2-year;More than 5 per day;3-5 hours;Afternoon;500-2000;Most of them;10-20;To stay connected with people;Get pleasure from funny posts/ memes;Yes;Yes;No;Sometimes;Never;No;Not trying;22;Female;Married;Muslim;Secondary Level;Unemployed including students;No income;Rural Area;With family;61;1.60;Non-smoker
2/22/2021 12:19:31;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);More than 10 years;Less than 1 per day;More than 5 hours;Frequently at anytime;Less than 500;Many of them;Less than 5;For time pass;Updates of current affairs/news;Yes;No;No;Sometimes;Never;Yes;Trying to reduce the use;27;Female;Married;Muslim;Graduate Level;Unemployed including students;No income;Urban Area;With family;61;1.60;Non-smoker
2/21/2021 19:14:21;Yes;Facebook;Desktop;Broadband (Wi-Fi);5-10 years;1-2 per day;3-5 hours;Frequently at anytime;500-2000;Most of them;5-10;Running business;Updates of current affairs/news;Yes;No;No;Sometimes;Never;No;Trying to reduce the use;28;Male;Unmarried;Muslim;Masters or above;Private job;40,000-70,000 Tk;Urban Area;Without family;69;1.70;Smoker
2/13/2021 21:00:21;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;3-5 per day;Less than 1 hour;Frequently at anytime;Less than 500;All of them;5-10;To stay connected with people;Get pleasure from funny posts/ memes;No;No;Yes;Sometimes;Most of the times;Yes;Trying to reduce the use;27;Male;Unmarried;Muslim;Masters or above;Unemployed including students;No income;Urban Area;With family;69;1.70;Non-smoker
2/13/2021 21:00:46;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;3-5 per day;Less than 1 hour;Frequently at anytime;Less than 500;All of them;5-10;To stay connected with people;Get pleasure from funny posts/ memes;No;No;Yes;Sometimes;Most of the times;Yes;Trying to reduce the use;27;Male;Unmarried;Muslim;Masters or above;Unemployed including students;No income;Urban Area;With family;69;1.70;Non-smoker
2/22/2021 12:13:08;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;More than 5 per day;More than 5 hours;Frequently at anytime;500-2000;Many of them;More than 20;For time pass;Ducks;Yes;No;Yes;Sometimes;Never;No;Not trying;23;Male;Unmarried;Muslim;Graduate Level;Unemployed including students;No income;Urban Area;With family;63;1.63;Non-smoker
2/21/2021 7:18:40;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);More than 10 years;Less than 1 per day;Less than 1 hour;Frequently at anytime;Less than 500;All of them;Less than 5;For time pass;Get pleasure from funny posts/ memes;Yes;No;No;Sometimes;Most of the times;No;Not trying;27;Female;Unmarried;Muslim;Masters or above;Unemployed including students;40,000-70,000 Tk;Urban Area;Without family;63;1.63;Non-smoker
2/26/2021 21:45:50;Yes;WhatsApp;Mobile Phone;Mobile data;5-10 years;3-5 per day;1-3 hours;Frequently at anytime;Less than 500;All of them;Less than 5;Running business;Updates of people;Yes;No;No;Not at all;Most of the times;No;Trying to reduce the use;27;Male;Unmarried;Muslim;Graduate Level;Self-employed/Entrepreneur/Business;40,000-70,000 Tk;Rural Area;With family;67;1.68;Smoker
2/22/2021 23:30:12;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;1-2 per day;3-5 hours;Frequently at anytime;500-2000;Many of them;More than 20;For time pass;To stay connected with people;Yes;No;Yes;Sometimes;Never;No;Not trying;27;Male;Unmarried;Muslim;Masters or above;Private job;10,000-40,000 Tk;Urban Area;With family;67;1.68;Smoker
3/7/2021 20:52:25;Yes;Facebook;Desktop;Broadband (Wi-Fi);2-5 years;Less than 1 per day;3-5 hours;Frequently at anytime;500-2000;Few of them;10-20;To make new friends;To stay connected with people;Yes;No;Yes;Always;All the times;No;Not trying;18;Male;Unmarried;Muslim;Secondary Level;Unemployed including students;No income;Rural Area;With family;65;1.65;Smoker
3/7/2021 14:44:21;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;3-5 hours;Frequently at anytime;Less than 500;Many of them;10-20;To stay connected with people;Updates of people;Yes;Yes;Yes;Sometimes;Most of the times;Yes;Trying to reduce the use;31;Male;Married;Muslim;Masters or above;Private job;10,000-40,000 Tk;Urban Area;With family;65;1.65;Non-smoker
2/22/2021 19:14:28;Yes;Facebook;Mobile Phone;Mobile data;2-5 years;Less than 1 per day;1-3 hours;Evening;Less than 500;Many of them;Less than 5;For time pass;Updates of people;Yes;Yes;No;Sometimes;Never;Yes;Not trying;36;Female;Married;Muslim;Secondary Level;Unemployed including students;No income;Rural Area;With family;65;1.65;Non-smoker
2/16/2021 21:52:07;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);More than 10 years;Less than 1 per day;3-5 hours;Frequently at anytime;500-2000;Most of them;5-10;To stay connected with people;Updates of people;Yes;No;Yes;Sometimes;Most of the times;Yes;Not trying;30;Female;Married;Muslim;Masters or above;Private job;40,000-70,000 Tk;Urban Area;With family;65;1.65;Non-smoker
3/7/2021 14:32:31;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;More than 5 hours;Night to late night;500-2000;Many of them;More than 20;To stay connected with people;Updates of people;Yes;Yes;Yes;Not at all;Most of the times;Yes;Trying to reduce the use;25;Female;Married;Muslim;Graduate Level;Unemployed including students;No income;Rural Area;With family;65;1.65;Non-smoker
3/7/2021 20:47:44;Yes;Twitter;Tablet;Broadband (Wi-Fi);Less than 2-year;3-5 per day;1-3 hours;Evening;500-2000;Many of them;10-20;To stay connected with people;To stay connected with people;Yes;Yes;Yes;Sometimes;Never;Yes;Trying to reduce the use;19;Female;Unmarried;Muslim;Secondary Level;Unemployed including students;No income;Rural Area;With family;55.5;1.52;Non-smoker
2/20/2021 10:46:41;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);More than 10 years;More than 5 per day;1-3 hours;Frequently at anytime;500-2000;Many of them;10-20;To stay connected with people;Updates of current affairs/news;Yes;No;Yes;Sometimes;Most of the times;No;Not trying;26;Male;Unmarried;Muslim;Masters or above;Self-employed/Entrepreneur/Business;No income;Urban Area;With family;80;1.83;Non-smoker
3/7/2021 22:42:26;Yes;Facebook;Tablet;Broadband (Wi-Fi);5-10 years;3-5 per day;3-5 hours;Evening;2000-4000;Many of them;10-20;To stay connected with people;Updates of current affairs/news;Yes;Yes;No;Sometimes;Never;Yes;Trying to reduce the use;18;Female;Unmarried;Muslim;Secondary Level;Unemployed including students;No income;Rural Area;With family;54;1.50;Non-smoker
2/20/2021 21:42:25;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);More than 10 years;Less than 1 per day;1-3 hours;Night to late night;500-2000;Many of them;More than 20;For time pass;Get pleasure from funny posts/ memes;Yes;No;Yes;Sometimes;Never;Yes;Trying to reduce the use;25;Male;Unmarried;Muslim;Masters or above;Unemployed including students;No income;Urban Area;With family;67;1.67;Smoker
3/8/2021 11:05:27;Yes;Facebook;Desktop;Broadband (Wi-Fi);Less than 2-year;1-2 per day;1-3 hours;Evening;Less than 500;Many of them;Less than 5;For time pass;Get pleasure from funny posts/ memes;Yes;Yes;Yes;Not at all;Most of the times;No;Not trying;15;Male;Unmarried;Muslim;Primary level;Unemployed including students;No income;Rural Area;With family;47;1.40;Non-smoker
2/27/2021 23:13:07;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;More than 5 per day;More than 5 hours;Night to late night;500-2000;All of them;More than 20;To stay connected with people;Updates of people;Yes;Yes;Yes;Sometimes;Never;No;Trying to reduce the use;23;Male;Unmarried;Muslim;Masters or above;Unemployed including students;No income;Urban Area;Without family;74;1.75;Smoker
2/22/2021 2:53:06;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;1-2 per day;More than 5 hours;Frequently at anytime;500-2000;Many of them;More than 20;Running business;Get pleasure from funny posts/ memes;Yes;No;No;Sometimes;Never;No;Not trying;25;Female;Unmarried;Muslim;Masters or above;Self-employed/Entrepreneur/Business;10,000-40,000 Tk;Urban Area;With family;56;1.52;Non-smoker
3/1/2021 10:20:35;Yes;Facebook;Mobile Phone;Mobile data;2-5 years;1-2 per day;1-3 hours;Morning;2000-4000;Few of them;10-20;To make new friends;Get pleasure from funny posts/ memes;Yes;Yes;Yes;Always;All the times;Yes;Not trying;16;Male;Unmarried;Muslim;Primary level;Daily labor/driver/housemaid;10,000-40,000 Tk;Rural Area;Without family;56;1.52;Smoker
2/17/2021 2:46:39;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;More than 5 hours;Frequently at anytime;500-2000;Many of them;More than 20;To stay connected with people;Get pleasure from funny posts/ memes;Yes;No;Yes;Sometimes;Never;No;Not trying;26;Female;Unmarried;Muslim;Masters or above;Dental surgeon ;40,000-70,000 Tk;Urban Area;With family;56;1.52;Non-smoker
2/25/2021 14:27:53;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);2-5 years;1-2 per day;3-5 hours;Frequently at anytime;Less than 500;Most of them;More than 20;To stay connected with people;Get pleasure from funny posts/ memes;Yes;No;No;Sometimes;Never;Yes;Trying to reduce the use;24;Female;Unmarried;Muslim;Graduate Level;Unemployed including students;No income;Urban Area;With family;56;1.52;Smoker
2/28/2021 0:15:04;Yes;Facebook;Mobile Phone;Mobile data;5-10 years;1-2 per day;Less than 1 hour;Frequently at anytime;500-2000;Many of them;5-10;For time pass;Updates of people;Yes;Yes;Yes;Not at all;All the times;Yes;Trying to stop the use;35;Male;Married;Muslim;Masters or above;Govt. job;10,000-40,000 Tk;Urban Area;With family;72;1.73;Smoker
3/7/2021 0:43:05;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);More than 10 years;Less than 1 per day;1-3 hours;Frequently at anytime;500-2000;Many of them;More than 20;To stay connected with people;To stay connected with people;Yes;No;Yes;Sometimes;Never;Yes;Trying to reduce the use;31;Male;Unmarried;Muslim;Masters or above;Govt. job;Above 70,000 Tk;Urban Area;With family;72;1.73;Smoker
2/22/2021 15:55:26;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);More than 10 years;Less than 1 per day;Less than 1 hour;Evening;Less than 500;Many of them;Less than 5;Running business;To buy products from various online pages/groups ;Yes;No;No;Sometimes;Never;No;Not trying;25;Female;Married;Muslim;Graduate Level;Private job and self taught makeup artist;10,000-40,000 Tk;Urban Area;With family;58;1.55;Smoker
3/2/2021 13:04:48;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;More than 5 per day;More than 5 hours;Frequently at anytime;500-2000;Most of them;More than 20;To stay connected with people;To stay connected with people;Yes;No;No;Sometimes;Never;No;Trying to reduce the use;24;Female;Unmarried;Muslim;Graduate Level;Self-employed/Entrepreneur/Business;10,000-40,000 Tk;Rural Area;With family;58;1.55;Non-smoker
2/21/2021 16:54:45;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;More than 5 hours;Frequently at anytime;Less than 500;Few of them;More than 20;For time pass;Updates of current affairs/news;Yes;No;No;Sometimes;Most of the times;Yes;Trying to reduce the use;25;Female;Unmarried;Muslim;Masters or above;Private job;10,000-40,000 Tk;Urban Area;With family;70;1.70;Non-smoker
2/4/2021 14:06:11;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;More than 5 hours;Frequently at anytime;500-2000;Most of them;5-10;To stay connected with people;Updates of people;Yes;No;Yes;Sometimes;Most of the times;Yes;Yes, I am trying and I have reduced using it;24;Female;Unmarried;Muslim;Higher secondary level;Self-employed/Entrepreneur/Business;10,000-40,000 Tk;Urban Area;With family;70;1.70;Non-smoker
2/20/2021 22:30:18;Yes;Facebook;Mobile Phone;Mobile data;5-10 years;Less than 1 per day;3-5 hours;Frequently at anytime;500-2000;Most of them;More than 20;To stay connected with people;To stay connected with people;Yes;No;Yes;Sometimes;Never;No;Not trying;26;Male;Unmarried;Muslim;Masters or above;Private job;10,000-40,000 Tk;Urban Area;Without family;70;1.70;Smoker
2/16/2021 20:52:06;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;3-5 hours;Frequently at anytime;500-2000;Many of them;10-20;For time pass;Updates of people;Yes;No;Yes;Sometimes;All the times;No;Not trying;25;Female;Unmarried;Muslim;Masters or above;Private job;40,000-70,000 Tk;Urban Area;With family;70;1.70;Non-smoker
2/26/2021 18:22:09;Yes;Facebook;Mobile Phone;Mobile data;2-5 years;Less than 1 per day;Less than 1 hour;Frequently at anytime;Less than 500;Few of them;Less than 5;To stay connected with people;To stay connected with people;Yes;No;No;Sometimes;Never;Yes;Not trying;23;Male;Unmarried;Hindu;Masters or above;Private job;10,000-40,000 Tk;Urban Area;With family;70;1.70;Non-smoker
2/20/2021 0:22:02;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;3-5 hours;Frequently at anytime;500-2000;Many of them;5-10;To stay connected with people;Updates of current affairs/news;No;No;Yes;Sometimes;Most of the times;Yes;Not trying;21;Male;Unmarried;Muslim;Graduate Level;Unemployed including students;No income;Urban Area;With family;70;1.70;Non-smoker
2/25/2021 10:22:42;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;1-3 hours;Frequently at anytime;500-2000;Many of them;More than 20;To stay connected with people;Updates of current affairs/news;No;No;Yes;Sometimes;Most of the times;Yes;Trying to reduce the use;27;Female;Married;Muslim;Graduate Level;Private job;Above 70,000 Tk;Urban Area;With family;70;1.70;Non-smoker
3/4/2021 16:40:32;Yes;WhatsApp;Mobile Phone;Mobile data;Less than 2-year;Less than 1 per day;Less than 1 hour;Frequently at anytime;Less than 500;All of them;Less than 5;To stay connected with people;To stay connected with people;Yes;Yes;Yes;Sometimes;Never;No;Not trying;16;Female;Unmarried;Muslim;Primary level;Daily labor/driver/housemaid;10,000-40,000 Tk;Rural Area;Without family;60;1.57;Non-smoker
